425,NYSE,BLH
821,NASDAQ,BLIN
422,AMEX,BLJ
422,NYSE,BLK
826,NASDAQ,BLKB
325,NYSE,BLL
410,NASDAQ,BLMT
624,NYSE,BLT
425,NYSE,BLW
417,NYSE,BLX
418,NYSE,BMA
742,AMEX,BMJ
410,NYSE,BMO
416,NASDAQ,BMRC
515,NASDAQ,BMRN
325,NYSE,BMS
411,NASDAQ,BMTC
510,NYSE,BMY
425,NYSE,BNA
412,NASDAQ,BNCN
425,NYSE,BNJ
410,NYSE,BNS
425,NYSE,BNY
712,NASDAQ,BOBE
427,NYSE,BOE
416,NYSE,BOH
415,NASDAQ,BOKF
124,NASDAQ,BOLT
731,NASDAQ,BONT
626,NASDAQ,BOOM
824,NASDAQ,BOSC
120,NYSE,BP
411,NASDAQ,BPFH
826,NASDAQ,BPHX
766,NYSE,BPI
425,NYSE,BPK
125,NYSE,BPL
448,NYSE,BPO
418,NASDAQ,BPOP
422,AMEX,BPS
122,NYSE,BPT
425,NYSE,BQH
827,NYSE,BR
823,NYSE,BRC
813,NASDAQ,BRCD
833,NASDAQ,BRCM
134,AMEX,BRD
445,NYSE,BRE
343,NYSE,BRFS
343,NASDAQ,BRID
419,NASDAQ,BRKL
837,NASDAQ,BRKR
834,NASDAQ,BRKS
525,NASDAQ,BRLI
434,NYSE,BRO
449,NYSE,BRP
772,NYSE,BRS
447,NYSE,BRT
121,NYSE,BRY
425,NYSE,BSD
521,NASDAQ,BSDM
311,NASDAQ,BSET
731,NYSE,BSI
510,NASDAQ,BSPM
821,NASDAQ,BSQR
416,NASDAQ,BSRR
515,NASDAQ,BSTC
521,NYSE,BSX
846,NYSE,BT
121,NYSE,BTE
323,NYSE,BTH
350,AMEX,BTI
133,NYSE,BTU
834,NASDAQ,BTUI
515,AMEX,BTX
346,NYSE,BUD
414,NASDAQ,BUSE
821,NASDAQ,BV
852,NASDAQ,BVSN
520,AMEX,BVX
333,NYSE,BWA
622,NYSE,BWC
432,NASDAQ,BWINB
712,NASDAQ,BWLD
125,NYSE,BWP
745,NYSE,BWS
422,NYSE,BX
123,AMEX,BXE
441,NYSE,BXP
413,NYSE,BXS
711,NYSE,BYD
419,NASDAQ,BYFC
324,NYSE,BZ
630,NYSE,BZH
422,AMEX,BZM
410,NYSE,C
826,NASDAQ,CA
333,NASDAQ,CAAS
740,NYSE,CAB
416,NASDAQ,CACB
424,NASDAQ,CACC
730,NASDAQ,CACH
515,NASDAQ,CADX
611,NYSE,CAE
419,NASDAQ,CAFI
342,NYSE,CAG
756,NYSE,CAH
313,NYSE,CAJ
712,NASDAQ,CAKE
826,NASDAQ,CALD
340,NASDAQ,CALM
124,NYSE,CAM
841,NASDAQ,CAMP
